policy_id,contract_id,loss_date,loss_amount,attachment_point,limit,exposure
P0034,C001,2014-01-27,17020.01,100000,500000,1.14
P0035,C001,2023-06-25,30835.61,100000,500000,0.86
P0036,C002,2017-06-19,199675.79,200000,1000000,0.99
P0037,C002,2022-12-27,12614.54,200000,1000000,1.02
P0038,C001,2022-10-13,31915.57,100000,500000,0.91
P0039,C002,2017-08-20,15229.39,200000,1000000,1.1
P0040,C001,2015-12-09,25982.05,100000,500000,1.12
P0041,C001,2022-02-11,28016.76,100000,500000,0.91
P0042,C002,2018-12-27,22336.34,200000,1000000,1.11
P0043,C002,2022-11-15,25818.32,200000,1000000,1.18
P0044,C002,2013-05-24,22955.44,200000,1000000,1.06
P0045,C001,2021-04-18,30080.95,100000,500000,1.17
P0046,C001,2014-06-09,42450.5,100000,500000,1.19
P0047,C002,2014-12-29,22141.81,200000,1000000,0.81
P0048,C002,2015-04-18,15731.09,200000,1000000,0.81
P0049,C001,2021-04-02,23733.43,100000,500000,0.94
P0050,C001,2014-02-15,20150.97,100000,500000,0.9
P0051,C001,2020-04-12,12471.59,100000,500000,1.03
P0052,C001,2013-11-14,16998.06,100000,500000,0.93
P0053,C001,2017-01-14,26189.05,100000,500000,0.89
P0054,C002,2015-05-07,19544.16,200000,1000000,0.88
P0055,C001,2015-05-01,331643.91,100000,500000,1.15
P0056,C002,2013-12-04,12599.31,200000,1000000,0.83
P0057,C002,2022-03-29,12798.33,200000,1000000,1.08
P0058,C002,2022-03-19,99624.73,200000,1000000,0.81
P0059,C001,2013-11-16,11474.38,100000,500000,0.9
P0060,C002,2022-08-16,18925.03,200000,1000000,0.85
P0061,C001,2023-11-12,37306.32,100000,500000,0.91
P0062,C001,2020-01-11,17585.41,100000,500000,0.81
P0063,C002,2023-12-18,19759.25,200000,1000000,0.92
P0064,C001,2023-03-24,22113.69,100000,500000,0.87
P0065,C002,2020-06-09,136028.47,200000,1000000,0.83
P0066,C002,2017-02-02,21751.07,200000,1000000,1.11
P0067,C002,2015-10-16,25397.05,200000,1000000,1.15
P0068,C001,2015-01-03,19046.36,100000,500000,0.86
P0069,C001,2014-02-22,25366.07,100000,500000,0.92
P0070,C001,2017-06-11,14478.59,100000,500000,0.9
P0071,C002,2014-01-09,40840.16,200000,1000000,0.82
P0072,C001,2014-10-30,22459.83,100000,500000,0.93
P0073,C001,2016-02-29,18174.62,100000,500000,1.07
P0074,C001,2021-02-10,18377.23,100000,500000,1.2
P0075,C002,2017-06-21,188799.91,200000,1000000,0.92
P0076,C001,2018-02-15,214294.22,100000,500000,0.94
P0077,C001,2020-02-13,25637.41,100000,500000,0.93
P0078,C001,2014-01-14,15310.83,100000,500000,1.1
P0079,C002,2017-03-11,25018.26,200000,1000000,0.92
P0080,C001,2020-10-24,22542.38,100000,500000,1.07
P0081,C002,2021-08-16,19000.3,200000,1000000,0.98
P0082,C002,2018-06-07,22868.0,200000,1000000,1.02
P0083,C001,2016-12-16,30379.69,100000,500000,0.98
P0084,C002,2014-10-21,25993.81,200000,1000000,1.03
P0085,C001,2017-05-10,28359.2,100000,500000,0.99
P0086,C002,2013-03-13,26561.59,200000,1000000,1.02
P0087,C001,2022-12-15,16770.86,100000,500000,1.06
P0088,C002,2017-02-08,17632.24,200000,1000000,1.15
P0089,C001,2016-10-21,21328.46,100000,500000,0.88
P0090,C002,2022-04-01,12363.79,200000,1000000,1.0
P0091,C002,2020-08-27,27311.52,200000,1000000,0.9
P0092,C002,2018-01-10,17097.6,200000,1000000,0.95
P0093,C001,2013-08-03,19449.96,100000,500000,0.94
P0094,C002,2019-08-17,415355.29,200000,1000000,0.96
P0095,C002,2022-09-09,20418.98,200000,1000000,1.13
P0096,C001,2022-05-19,205341.06,100000,500000,1.09
P0097,C001,2014-11-08,35741.18,100000,500000,0.94
P0098,C001,2020-01-26,38284.01,100000,500000,0.95
P0099,C001,2022-05-19,37291.09,100000,500000,0.83
P0100,C002,2014-07-07,28649.94,200000,1000000,1.2
P0101,C001,2013-09-21,263727.76,100000,500000,1.04
P0102,C002,2019-04-22,30862.18,200000,1000000,1.11
P0103,C001,2022-04-23,19474.27,100000,500000,1.05
P0104,C001,2015-11-29,23456.81,100000,500000,1.02
P0105,C002,2023-07-09,38944.97,200000,1000000,1.0
P0106,C001,2023-09-13,29797.36,100000,500000,1.14
P0107,C002,2015-10-22,22078.16,200000,1000000,1.11
P0108,C002,2018-08-04,33836.45,200000,1000000,0.82
P0109,C001,2022-04-14,21019.59,100000,500000,1.06
P0110,C002,2017-08-17,12329.61,200000,1000000,1.15
P0111,C001,2013-07-13,26186.39,100000,500000,1.0
P0112,C002,2020-10-16,19812.38,200000,1000000,0.88
P0113,C001,2017-05-14,15162.43,100000,500000,1.18
P0114,C001,2015-03-26,22588.15,100000,500000,1.03
P0115,C001,2018-03-28,20433.66,100000,500000,0.94
P0116,C001,2016-05-27,16326.67,100000,500000,0.84
P0117,C001,2019-10-02,15369.19,100000,500000,1.15
P0118,C002,2013-03-11,20656.45,200000,1000000,0.91
P0119,C002,2013-02-01,18363.87,200000,1000000,1.03
P0120,C001,2021-01-23,25781.07,100000,500000,0.98
P0121,C001,2021-01-03,26634.43,100000,500000,1.08
P0122,C001,2015-05-26,314532.57,100000,500000,1.15
P0123,C001,2020-02-13,21369.28,100000,500000,0.88
P0124,C002,2021-07-31,25945.21,200000,1000000,0.82
P0125,C002,2018-03-26,17861.01,200000,1000000,1.03
P0126,C002,2022-03-08,26792.35,200000,1000000,0.93
P0127,C002,2017-05-11,42278.81,200000,1000000,0.81
P0128,C001,2014-07-05,18427.32,100000,500000,0.86
P0129,C002,2020-10-06,19853.48,200000,1000000,0.96
P0130,C002,2015-11-29,28760.08,200000,1000000,0.98
P0131,C002,2021-04-10,25337.89,200000,1000000,0.85
P0132,C002,2017-02-19,34776.66,200000,1000000,0.93
P0133,C002,2013-08-27,32969.22,200000,1000000,0.9
P0134,C001,2016-03-30,20868.25,100000,500000,1.02
P0135,C002,2014-01-10,108014.22,200000,1000000,1.05
P0136,C002,2014-02-10,17173.29,200000,1000000,0.95
P0137,C002,2019-09-03,24916.91,200000,1000000,0.82
P0138,C002,2015-12-25,21743.12,200000,1000000,1.02
P0139,C001,2016-06-11,17379.1,100000,500000,1.17
P0140,C001,2018-05-30,26261.53,100000,500000,0.87
P0141,C002,2016-03-06,23705.63,200000,1000000,0.83
P0142,C002,2023-04-13,41915.8,200000,1000000,1.05
P0143,C002,2023-12-25,148733.08,200000,1000000,1.11
P0144,C001,2021-02-06,18248.6,100000,500000,1.01
P0145,C002,2013-11-25,19564.95,200000,1000000,0.98
P0146,C001,2023-05-28,21145.14,100000,500000,1.13
P0147,C001,2022-03-22,18182.89,100000,500000,1.17
P0148,C001,2014-08-27,20676.21,100000,500000,1.1
P0149,C002,2014-01-23,190724.45,200000,1000000,0.98
P0150,C002,2013-01-06,26081.88,200000,1000000,1.09
P0151,C001,2018-08-18,28328.27,100000,500000,1.16
P0152,C002,2016-04-14,23550.69,200000,1000000,1.12
P0153,C002,2015-12-13,46000.24,200000,1000000,0.95
P0154,C002,2021-10-23,29011.8,200000,1000000,1.02
P0155,C001,2018-11-05,20675.72,100000,500000,1.08
P0156,C002,2022-04-02,25973.98,200000,1000000,1.1
P0157,C001,2016-06-04,20512.24,100000,500000,0.89
P0158,C002,2018-02-12,19499.24,200000,1000000,0.81
P0159,C002,2023-04-13,25997.99,200000,1000000,1.04
P0160,C001,2018-02-24,104459.01,100000,500000,1.08
P0161,C001,2023-07-06,16759.54,100000,500000,0.94
P0162,C001,2018-08-20,22430.99,100000,500000,0.88
P0163,C001,2017-08-04,25530.53,100000,500000,0.82
P0164,C002,2019-01-22,174714.54,200000,1000000,1.04
P0165,C002,2018-07-01,16940.99,200000,1000000,1.16
P0166,C001,2021-04-18,15761.21,100000,500000,1.02
P0167,C002,2015-07-02,19793.57,200000,1000000,1.07
P0168,C002,2015-04-25,10826.4,200000,1000000,0.84
P0169,C002,2023-01-02,22522.04,200000,1000000,1.18
P0170,C002,2018-06-04,25678.58,200000,1000000,0.87
P0171,C002,2015-09-17,21394.38,200000,1000000,1.14
P0172,C002,2023-07-28,114837.98,200000,1000000,0.97
P0173,C002,2016-01-22,26786.11,200000,1000000,1.13
P0174,C001,2019-10-21,43982.18,100000,500000,0.9
P0175,C002,2022-09-27,20926.68,200000,1000000,1.01
P0176,C001,2015-07-04,18122.5,100000,500000,0.89
P0177,C002,2020-06-29,17392.18,200000,1000000,0.8
P0178,C001,2022-05-31,25393.34,100000,500000,1.16
P0179,C001,2015-10-12,24831.23,100000,500000,0.86
P0180,C001,2013-09-11,16634.77,100000,500000,1.17
P0181,C002,2020-03-07,27501.83,200000,1000000,0.91
P0182,C002,2021-10-27,10323.91,200000,1000000,0.96
P0183,C001,2023-06-23,135405.59,100000,500000,0.83
P0184,C001,2023-05-26,22624.21,100000,500000,0.84
P0185,C001,2021-08-28,271919.36,100000,500000,1.17
P0186,C001,2015-11-15,18587.08,100000,500000,1.02
P0187,C002,2014-09-26,20996.87,200000,1000000,0.82
P0188,C002,2021-05-04,26630.51,200000,1000000,0.92
P0189,C001,2014-09-10,23139.96,100000,500000,1.03
P0190,C001,2015-03-01,23714.57,100000,500000,1.1
P0191,C002,2015-05-11,49608.18,200000,1000000,0.87
P0192,C002,2018-01-18,35250.0,200000,1000000,0.86
P0193,C002,2017-03-24,23452.79,200000,1000000,1.12
P0194,C001,2022-12-09,15237.73,100000,500000,1.19
P0195,C001,2014-09-26,30311.11,100000,500000,1.13
P0196,C002,2020-08-24,32213.98,200000,1000000,1.07
P0197,C002,2022-07-07,168884.54,200000,1000000,0.88
P0198,C002,2023-07-18,38367.84,200000,1000000,1.09
P0199,C001,2014-10-10,166440.06,100000,500000,0.8
P0200,C002,2013-11-08,23385.8,200000,1000000,1.02
P0201,C002,2022-03-07,20913.05,200000,1000000,1.0
P0202,C002,2019-11-25,19611.7,200000,1000000,1.0
P0203,C002,2022-01-25,23307.81,200000,1000000,1.16
P0204,C001,2019-09-19,16892.97,100000,500000,0.89
P0205,C001,2018-11-16,161717.93,100000,500000,0.84
P0206,C001,2015-04-28,55704.83,100000,500000,0.97
P0207,C001,2020-09-03,21817.22,100000,500000,1.11
P0208,C002,2014-08-17,22782.46,200000,1000000,0.94
P0209,C001,2014-03-03,11813.04,100000,500000,1.2
P0210,C001,2018-01-18,29268.01,100000,500000,0.81
P0211,C001,2017-07-15,22752.02,100000,500000,1.15
P0212,C002,2022-08-26,22221.72,200000,1000000,1.11
P0213,C002,2014-09-11,19656.13,200000,1000000,0.86
P0214,C002,2013-08-28,16245.3,200000,1000000,0.98
P0215,C002,2022-09-25,13806.81,200000,1000000,0.83
P0216,C002,2018-08-18,119823.96,200000,1000000,0.92
P0217,C001,2019-11-14,24255.04,100000,500000,1.0
P0218,C002,2018-10-24,17719.76,200000,1000000,0.83
P0219,C002,2015-10-23,26291.79,200000,1000000,0.92
P0220,C002,2022-04-04,115879.73,200000,1000000,0.96
P0221,C002,2016-04-18,15881.31,200000,1000000,0.93
P0222,C001,2021-07-15,36682.55,100000,500000,1.13
P0223,C002,2023-10-13,11575.74,200000,1000000,1.17
P0224,C001,2021-08-31,19714.93,100000,500000,1.16
P0225,C002,2013-05-16,17030.33,200000,1000000,0.93
P0226,C001,2022-09-04,16643.01,100000,500000,1.07
P0227,C001,2016-10-10,135996.98,100000,500000,0.95
P0228,C002,2015-10-27,25632.45,200000,1000000,0.83
P0229,C002,2020-12-14,18419.66,200000,1000000,1.01
P0230,C001,2023-01-29,28523.6,100000,500000,1.19
P0231,C002,2023-04-22,30717.41,200000,1000000,0.93
P0232,C001,2017-07-30,17838.67,100000,500000,1.11
P0233,C002,2015-12-12,21424.07,200000,1000000,0.81
P0234,C002,2019-01-30,20509.38,200000,1000000,0.97
P0235,C001,2016-09-05,18569.12,100000,500000,0.82
P0236,C001,2022-10-04,16017.88,100000,500000,1.05
P0237,C001,2021-10-30,19973.9,100000,500000,1.15
P0238,C001,2016-10-25,21823.15,100000,500000,1.18
P0239,C002,2023-03-17,21233.89,200000,1000000,1.15
P0240,C002,2017-07-14,17957.17,200000,1000000,0.85
P0241,C001,2017-07-26,21909.04,100000,500000,0.9
P0242,C001,2016-07-03,18397.28,100000,500000,1.05
P0243,C001,2017-04-26,21054.06,100000,500000,0.89
P0244,C001,2023-04-13,28988.36,100000,500000,0.83
P0245,C001,2016-07-14,34501.75,100000,500000,0.9
P0246,C002,2016-01-30,26974.2,200000,1000000,0.82
P0247,C002,2018-02-08,28437.33,200000,1000000,1.01
P0248,C001,2021-08-07,25621.68,100000,500000,1.1
P0249,C001,2013-03-22,257858.93,100000,500000,1.06
P0250,C002,2020-12-23,14164.55,200000,1000000,0.82
P0251,C001,2015-07-20,18778.05,100000,500000,0.93
P0252,C002,2023-11-30,34919.17,200000,1000000,1.09
P0253,C001,2016-06-16,31553.77,100000,500000,1.15
P0254,C001,2023-05-14,21390.44,100000,500000,0.96
P0255,C002,2021-03-28,29374.81,200000,1000000,1.01
P0256,C001,2019-12-28,18058.23,100000,500000,1.06
P0257,C001,2018-05-03,25578.5,100000,500000,1.17
P0258,C001,2020-12-07,16013.51,100000,500000,0.93
P0259,C002,2017-10-13,166012.73,200000,1000000,1.18
P0260,C001,2017-03-10,17961.4,100000,500000,1.14
P0261,C002,2017-03-11,18219.7,200000,1000000,1.02
P0262,C001,2015-11-19,21455.55,100000,500000,1.09
P0263,C001,2017-06-18,20661.28,100000,500000,1.14
P0264,C001,2016-12-02,16028.4,100000,500000,0.92
P0265,C002,2014-10-26,14530.64,200000,1000000,0.94
P0266,C001,2023-07-16,29244.14,100000,500000,1.04
P0267,C002,2021-08-12,25114.96,200000,1000000,1.06
P0268,C001,2015-09-23,17771.87,100000,500000,1.09
P0269,C001,2019-01-04,20328.34,100000,500000,0.81
P0270,C002,2023-09-05,12052.82,200000,1000000,1.14
P0271,C002,2013-12-06,29544.91,200000,1000000,0.88
P0272,C001,2021-08-23,35535.72,100000,500000,1.01
P0273,C002,2021-08-08,23976.29,200000,1000000,1.02
P0274,C002,2018-08-05,24436.67,200000,1000000,1.11
P0275,C001,2013-06-18,27011.33,100000,500000,0.82
P0276,C001,2020-06-06,20914.73,100000,500000,1.14
P0277,C001,2017-05-02,21653.83,100000,500000,1.14
P0278,C002,2016-03-12,32826.91,200000,1000000,0.85
P0279,C002,2021-11-29,132445.68,200000,1000000,1.17
P0280,C002,2020-11-22,30153.07,200000,1000000,0.86
P0281,C001,2021-02-26,30372.05,100000,500000,1.12
P0282,C001,2019-07-24,24423.47,100000,500000,1.15
P0283,C002,2014-02-14,27474.33,200000,1000000,1.18
P0284,C002,2013-09-22,18918.71,200000,1000000,0.84
P0285,C001,2018-03-24,12726.16,100000,500000,0.84
P0286,C002,2017-02-23,27557.25,200000,1000000,1.04
P0287,C002,2015-07-10,22185.56,200000,1000000,0.91
P0288,C002,2013-05-30,14318.09,200000,1000000,0.82
P0289,C001,2018-10-18,105537.9,100000,500000,1.08
P0290,C001,2022-01-24,12786.91,100000,500000,0.9
P0291,C001,2023-09-21,13866.02,100000,500000,0.91
P0292,C002,2019-12-06,21997.03,200000,1000000,0.8
P0293,C001,2020-05-05,15015.64,100000,500000,0.98
P0294,C001,2023-09-22,19334.66,100000,500000,1.07
P0295,C002,2020-07-15,30406.59,200000,1000000,1.12
P0296,C001,2020-11-25,18686.8,100000,500000,1.19
P0297,C001,2019-08-30,20750.17,100000,500000,0.99
P0298,C002,2020-08-27,150733.34,200000,1000000,1.03
P0299,C001,2021-03-20,17900.2,100000,500000,0.94
P0300,C002,2013-10-23,176401.56,200000,1000000,0.97
P0301,C002,2021-08-08,34830.15,200000,1000000,0.94
P0302,C001,2019-03-28,32278.46,100000,500000,0.83
P0303,C002,2016-12-13,13830.92,200000,1000000,0.87
P0304,C001,2023-11-25,25182.45,100000,500000,0.84
P0305,C002,2021-03-24,20610.11,200000,1000000,1.06
P0306,C001,2023-05-17,18925.77,100000,500000,1.08
P0307,C001,2014-02-28,11548.44,100000,500000,1.08
P0308,C001,2018-09-28,30539.71,100000,500000,1.18
P0309,C002,2022-02-11,18397.9,200000,1000000,1.11
P0310,C001,2019-07-22,40409.42,100000,500000,1.16
P0311,C001,2013-02-08,33934.13,100000,500000,1.05
P0312,C002,2019-08-09,30720.29,200000,1000000,0.82
P0313,C002,2022-11-19,29757.42,200000,1000000,1.03
P0314,C002,2017-01-11,30917.32,200000,1000000,0.86
P0315,C001,2020-01-25,24316.16,100000,500000,1.01
P0316,C001,2020-07-08,18350.61,100000,500000,1.11
P0317,C002,2019-09-04,12141.35,200000,1000000,1.17
P0318,C001,2017-06-21,22450.65,100000,500000,1.05
P0319,C001,2020-02-28,16390.38,100000,500000,0.89
P0320,C002,2013-05-16,20900.95,200000,1000000,1.17
P0321,C001,2023-06-16,17555.59,100000,500000,1.04
P0322,C001,2014-12-01,161673.48,100000,500000,0.81
P0323,C001,2015-10-17,20476.67,100000,500000,0.87
P0324,C001,2023-10-07,280958.96,100000,500000,0.84
P0325,C001,2022-05-30,10582.67,100000,500000,1.15
P0326,C002,2018-01-14,19368.26,200000,1000000,1.03
P0327,C001,2021-01-08,36737.25,100000,500000,1.04
P0328,C002,2019-04-29,24259.57,200000,1000000,1.11
P0329,C002,2018-08-22,13160.57,200000,1000000,1.17
P0330,C001,2022-07-11,31427.08,100000,500000,1.0
P0331,C002,2013-01-30,15283.87,200000,1000000,0.86
P0332,C002,2022-04-27,13060.49,200000,1000000,0.87
P0333,C001,2014-12-17,21240.22,100000,500000,0.98
P0334,C001,2014-08-09,228395.93,100000,500000,1.13
P0335,C001,2018-05-21,11749.15,100000,500000,1.04
P0336,C001,2013-11-16,38844.67,100000,500000,1.11
P0337,C002,2021-03-30,24670.75,200000,1000000,0.99
P0338,C001,2017-07-22,22342.68,100000,500000,0.88
P0339,C001,2020-09-12,30407.29,100000,500000,1.0
P0340,C001,2021-12-18,20490.77,100000,500000,1.06
P0341,C001,2018-05-06,15556.08,100000,500000,0.87
P0342,C002,2019-08-20,16839.6,200000,1000000,0.83
P0343,C002,2015-03-19,14732.85,200000,1000000,0.93
P0344,C001,2023-02-18,28569.12,100000,500000,0.99
P0345,C001,2013-06-23,85641.23,100000,500000,0.86
P0346,C002,2019-03-05,16521.56,200000,1000000,1.14
P0347,C002,2021-04-22,10235.94,200000,1000000,1.14
P0348,C001,2022-06-25,22938.76,100000,500000,1.05
P0349,C001,2020-04-17,36716.14,100000,500000,1.19
P0350,C001,2013-02-18,25213.09,100000,500000,0.87
P0351,C001,2015-11-15,17151.1,100000,500000,0.93
P0352,C001,2013-08-31,23204.01,100000,500000,1.18
P0353,C002,2014-04-11,22385.74,200000,1000000,1.05
P0354,C001,2019-07-25,11513.7,100000,500000,1.14
P0355,C001,2017-04-25,23803.63,100000,500000,0.88
P0356,C002,2023-07-07,19358.73,200000,1000000,1.11
P0357,C001,2014-10-18,16746.88,100000,500000,0.84
P0358,C001,2014-02-14,119139.15,100000,500000,1.07
P0359,C002,2014-06-22,252230.83,200000,1000000,1.14
P0360,C002,2022-09-11,173100.52,200000,1000000,1.12
P0361,C001,2020-11-16,30091.91,100000,500000,1.16
P0362,C001,2015-03-12,26159.81,100000,500000,1.0
P0363,C002,2020-04-28,32444.88,200000,1000000,1.0
P0364,C001,2015-01-31,22560.41,100000,500000,0.87
P0365,C001,2018-12-04,25806.59,100000,500000,1.18
P0366,C001,2020-09-02,74566.01,100000,500000,1.05
P0367,C001,2020-07-22,38626.39,100000,500000,0.84
P0368,C001,2023-06-28,27732.09,100000,500000,0.96
P0369,C001,2013-03-08,16201.52,100000,500000,1.16
P0370,C001,2020-04-03,26116.68,100000,500000,1.09
P0371,C001,2021-08-05,16329.26,100000,500000,1.04
P0372,C002,2013-08-01,15647.87,200000,1000000,0.9
P0373,C001,2023-06-20,22007.28,100000,500000,1.06
P0374,C002,2019-07-15,21629.45,200000,1000000,1.14
P0375,C002,2013-04-16,21003.05,200000,1000000,1.18
P0376,C001,2015-11-15,33731.31,100000,500000,0.97
P0377,C002,2014-11-12,30335.74,200000,1000000,1.14
P0378,C002,2019-02-23,157715.85,200000,1000000,1.06
P0379,C001,2016-04-24,34587.44,100000,500000,0.95
P0380,C001,2022-05-24,14188.73,100000,500000,0.98
P0381,C001,2017-07-18,24767.11,100000,500000,0.91
P0382,C002,2019-08-07,340579.44,200000,1000000,1.05
P0383,C002,2018-01-24,270547.22,200000,1000000,1.06
P0384,C001,2018-07-23,25293.27,100000,500000,0.84
P0385,C001,2019-08-26,16555.13,100000,500000,0.93
P0386,C001,2021-02-07,24560.8,100000,500000,1.2
P0387,C002,2019-02-17,11594.63,200000,1000000,1.0
P0388,C002,2023-09-29,15939.45,200000,1000000,1.14
P0389,C002,2022-10-10,14927.91,200000,1000000,1.18
P0390,C001,2017-11-14,25711.71,100000,500000,0.88
P0391,C002,2014-09-14,33710.44,200000,1000000,1.1
P0392,C002,2013-08-18,28732.73,200000,1000000,1.16
P0393,C001,2013-07-03,153020.6,100000,500000,1.11
P0394,C002,2014-03-02,21323.87,200000,1000000,1.15
P0395,C002,2013-07-28,21199.31,200000,1000000,1.12
P0396,C001,2016-04-25,24124.61,100000,500000,0.98
P0397,C002,2014-03-06,23184.46,200000,1000000,1.19
P0398,C001,2015-09-09,26552.27,100000,500000,1.03
P0399,C001,2018-07-20,15560.35,100000,500000,0.89
P0400,C001,2022-07-14,17323.14,100000,500000,0.83
P0401,C002,2017-05-12,22765.41,200000,1000000,0.96
P0402,C001,2021-11-15,382789.32,100000,500000,1.17
P0403,C001,2021-03-02,25851.92,100000,500000,0.87
P0404,C002,2014-03-29,15009.5,200000,1000000,0.92
P0405,C002,2017-05-17,30811.62,200000,1000000,0.94
P0406,C001,2013-12-01,22759.31,100000,500000,0.92
P0407,C002,2020-01-01,36769.33,200000,1000000,1.06
P0408,C002,2019-08-23,143224.64,200000,1000000,1.17
P0409,C002,2021-05-23,13703.01,200000,1000000,1.05
P0410,C002,2019-12-04,35180.74,200000,1000000,0.83
P0411,C001,2014-11-11,138553.83,100000,500000,1.18
P0412,C002,2013-11-20,15952.49,200000,1000000,1.01
P0413,C001,2022-02-23,29188.79,100000,500000,0.98
P0414,C002,2022-08-13,32536.15,200000,1000000,1.18
P0415,C002,2016-05-26,15117.84,200000,1000000,0.99
P0416,C002,2017-03-25,12751.51,200000,1000000,0.99
P0417,C002,2018-09-26,23015.32,200000,1000000,1.1
P0418,C002,2014-02-14,25380.87,200000,1000000,1.13
P0419,C002,2017-06-29,24456.39,200000,1000000,0.85
P0420,C001,2019-11-06,24802.87,100000,500000,1.11
P0421,C002,2021-03-27,17354.91,200000,1000000,1.18
P0422,C001,2015-08-29,15412.88,100000,500000,0.8
P0423,C002,2019-07-04,30067.55,200000,1000000,1.09
P0424,C002,2021-06-19,16867.86,200000,1000000,1.03
P0425,C001,2021-02-14,14262.92,100000,500000,1.11
P0426,C002,2020-01-15,35628.96,200000,1000000,1.18
P0427,C001,2014-09-07,22758.4,100000,500000,1.05
P0428,C002,2019-02-04,16450.26,200000,1000000,1.05
P0429,C002,2017-09-09,22917.56,200000,1000000,0.84
P0430,C001,2019-11-01,16592.48,100000,500000,1.06
P0431,C001,2013-06-10,30311.79,100000,500000,1.12
P0432,C001,2023-12-18,25862.19,100000,500000,0.96
P0433,C001,2015-09-30,23892.8,100000,500000,1.16
P0434,C002,2018-12-17,14915.57,200000,1000000,1.13
P0435,C002,2020-04-22,152809.54,200000,1000000,1.05
P0436,C002,2014-05-26,19239.95,200000,1000000,0.86
P0437,C002,2020-04-09,20778.34,200000,1000000,1.0
P0438,C002,2022-09-19,13824.9,200000,1000000,0.99
P0439,C002,2023-05-11,41402.72,200000,1000000,0.87
P0440,C001,2013-05-12,24399.85,100000,500000,1.19
P0441,C002,2018-09-14,23553.15,200000,1000000,1.09
P0442,C001,2019-06-23,28606.59,100000,500000,1.18
P0443,C001,2021-09-16,19840.82,100000,500000,1.11
P0444,C001,2023-05-16,20378.12,100000,500000,0.96
P0445,C001,2023-12-05,31363.45,100000,500000,1.04
P0446,C001,2017-11-03,20731.3,100000,500000,1.03
P0447,C002,2020-08-31,22583.16,200000,1000000,1.14
P0448,C002,2014-06-21,118507.74,200000,1000000,0.97
P0449,C001,2018-05-05,24809.09,100000,500000,0.99
P0450,C001,2019-04-03,233172.16,100000,500000,1.19
P0451,C001,2014-11-09,25941.36,100000,500000,0.91
P0452,C002,2023-05-14,26040.1,200000,1000000,1.14
P0453,C002,2018-10-31,31951.6,200000,1000000,1.19
P0454,C001,2016-02-21,75736.42,100000,500000,0.99
P0455,C001,2014-11-09,18125.68,100000,500000,1.07
P0456,C001,2017-01-19,19710.92,100000,500000,0.85
P0457,C002,2022-06-19,15567.35,200000,1000000,0.9
P0458,C002,2019-04-28,26170.06,200000,1000000,0.99
P0459,C001,2013-10-31,23458.01,100000,500000,1.15
P0460,C002,2013-12-14,23708.1,200000,1000000,1.04
P0461,C002,2016-08-13,19879.63,200000,1000000,0.85
P0462,C002,2020-12-16,22959.23,200000,1000000,0.87
P0463,C002,2021-09-03,89384.28,200000,1000000,1.01
P0464,C002,2017-10-21,22234.9,200000,1000000,0.96
P0465,C002,2020-04-04,17343.32,200000,1000000,0.83
P0466,C001,2020-09-23,17112.95,100000,500000,1.02
P0467,C001,2016-06-21,14836.97,100000,500000,1.13
P0468,C002,2014-01-15,20626.63,200000,1000000,1.03
P0469,C002,2022-06-08,17099.97,200000,1000000,1.01
P0470,C002,2019-10-17,16181.24,200000,1000000,1.0
P0471,C002,2015-04-12,19939.34,200000,1000000,0.88
P0472,C002,2018-11-20,32848.46,200000,1000000,0.91
